player,game_id,Last_2_Avg_minutes,Last_2_Avg_points,Last_2_Avg_two_points_made,Last_2_Avg_two_points_attempted,Last_2_Avg_three_points_made,Last_2_Avg_three_points_attempted,Last_2_Avg_free_throws_made,Last_2_Avg_free_throws_attempted,Last_2_Avg_offensive_rebounds,Last_2_Avg_defensive_rebounds,Last_2_Avg_total_rebounds,Last_2_Avg_assists,Last_2_Avg_steals,Last_2_Avg_turnovers,Last_2_Avg_blocks_favour,Last_2_Avg_blocks_against,Last_2_Avg_fouls_committed,Last_2_Avg_fouls_received,Last_2_Avg_valuation,Last_2_Avg_ts%
Sergey Karasev,E2019_164,3.9166666666666665,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,-4.0,0.0
Janis Timma,E2019_164,,,,,,,,,,,,,,,,,,,,
Jordan Loyd,E2019_164,20.95,6.0,0.0,3.0,1.0,5.0,3.0,3.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,1.0,0.3218884120171674
Stefan Jovic,E2019_164,31.85,19.0,3.0,6.0,4.0,5.0,1.0,3.0,2.0,3.0,5.0,11.0,3.0,0.0,0.0,0.0,3.0,4.0,33.0,0.7711038961038961
Maurice Ndour,E2019_164,,,,,,,,,,,,,,,,,,,,
Quino Colom,E2019_164,27.1,12.0,4.0,8.0,1.0,3.0,1.0,5.0,0.0,3.0,3.0,11.0,1.0,2.0,0.0,0.0,0.0,7.0,22.0,0.4545454545454546
Charles Galliou,E2019_166,5.366666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Johannes Voigtmann,E2019_163,28.833333333333336,16.5,4.0,7.5,2.5,5.5,1.0,2.0,1.5,7.0,8.5,1.5,0.0,2.0,0.0,0.0,1.0,1.0,17.0,0.5933347176079735
Livio Jean-Charles,E2019_166,29.55,15.0,6.0,11.0,1.0,3.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,16.0,0.5357142857142857
Brandon Paul,E2019_167,15.416666666666666,12.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,11.0,0.8571428571428571
Wade Iv Baldwin,E2019_167,16.066666666666666,6.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,5.0,0.75
